start_iso,iso,rel_s,state,x,y,rect_w,rect_h,iti_ms,event,outside_in_trial,max_outside_before_fail,trial_outcome,iti_kind,release_dwell_required_ms,release_dwell_elapsed_ms,,
2026-06-02T15:29:20.536,2026-06-02T15:33:18.960,238.424054,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:18.960,238.424107,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:20.961,240.425094,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2001,,
2026-06-02T15:29:20.536,2026-06-02T15:33:23.351,242.815623,SHOW,939,434,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:33:23.351,15:33:23
2026-06-02T15:29:20.536,2026-06-02T15:33:24.352,243.816052,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:24.352,243.816105,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:26.353,245.817053,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2001,,
2026-06-02T15:29:20.536,2026-06-02T15:33:27.079,246.543228,SHOW,944,345,352,352,0,TOUCH_OUTSIDE,1,5,,,,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:28.153,247.616839,SHOW,825,539,352,352,1000,TOUCH_TTL,1,,success,correct,,,15:33:28.153,15:33:28
2026-06-02T15:29:20.536,2026-06-02T15:33:28.168,247.631806,ITI,825,539,352,352,0,TOUCH_ITI_INSIDE,,,,,,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:29.153,248.617203,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:29.153,248.617254,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:31.153,250.61769,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2000,,
2026-06-02T15:29:20.536,2026-06-02T15:33:32.523,251.987701,SHOW,1038,412,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:33:32.523,15:33:33
2026-06-02T15:29:20.536,2026-06-02T15:33:32.538,252.0025,ITI,980,424,352,352,0,TOUCH_ITI_INSIDE,,,,,,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:33.524,252.988516,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:33.524,252.988572,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:35.526,254.990395,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2001,,
2026-06-02T15:29:20.536,2026-06-02T15:33:37.095,256.55974,SHOW,878,437,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:33:37.095,15:33:37
2026-06-02T15:29:20.536,2026-06-02T15:33:38.096,257.560467,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:38.096,257.560523,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:40.098,259.562573,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2002,,
2026-06-02T15:29:20.536,2026-06-02T15:33:41.865,261.328774,SHOW,905,419,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:33:41.865,0:00:05
2026-06-02T15:29:20.536,2026-06-02T15:33:42.867,262.331359,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:42.867,262.331412,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:44.871,264.335207,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2003,,
2026-06-02T15:29:20.536,2026-06-02T15:33:46.654,266.117803,SHOW,911,412,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:33:46.654,0:00:05
2026-06-02T15:29:20.536,2026-06-02T15:33:47.655,267.118978,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:47.655,267.119029,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:49.657,269.121005,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2002,,
2026-06-02T15:29:20.536,2026-06-02T15:33:51.090,270.554033,SHOW,975,448,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:33:51.090,0:00:04
2026-06-02T15:29:20.536,2026-06-02T15:33:52.093,271.557029,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:52.093,271.557081,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:54.096,273.559896,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2002,,
2026-06-02T15:29:20.536,2026-06-02T15:33:55.730,275.193866,SHOW,972,427,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:33:55.730,0:00:05
2026-06-02T15:29:20.536,2026-06-02T15:33:55.745,275.209072,ITI,1037,459,352,352,0,TOUCH_ITI_INSIDE,,,,,,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:56.730,276.194645,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:56.730,276.194699,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:33:58.731,278.19573,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_OK,,,,,,2001,,
2026-06-02T15:29:20.536,2026-06-02T15:34:00.199,279.662878,SHOW,841,398,352,352,1000,TOUCH_TTL,0,,success,correct,,,15:34:00.199,15:34:00
2026-06-02T15:29:20.536,2026-06-02T15:34:01.199,280.66336,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,,,
2026-06-02T15:29:20.536,2026-06-02T15:34:01.199,280.663412,WAIT_RELEASE,-1,-1,352,352,0,RELEASE_DWELL_START,,,,,2000,,,
